#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDK7	GTF2A1	9606.ENSP00000256443	9606.ENSP00000452454	0	0	0	0	0.056	0.812	0.500	0	0.903
CDK7	POLR2H	9606.ENSP00000256443	9606.ENSP00000415536	0	0	0	0	0.144	0.812	0.500	0.060	0.914
CDK7	TAF7	9606.ENSP00000256443	9606.ENSP00000312709	0	0	0	0	0.076	0.852	0.500	0.221	0.939
CDK7	GTF2B	9606.ENSP00000256443	9606.ENSP00000359531	0	0	0	0	0.189	0.812	0.800	0.626	0.987
CEBPZ	TARBP1	9606.ENSP00000234170	9606.ENSP00000040877	0	0	0	0	0.607	0	0	0	0.607
CEBPZ	TRMT6	9606.ENSP00000234170	9606.ENSP00000203001	0	0	0	0	0.413	0	0	0	0.413
CEBPZ	UTP18	9606.ENSP00000234170	9606.ENSP00000225298	0	0	0	0	0.830	0	0	0.085	0.838
CEBPZ	KLC1	9606.ENSP00000234170	9606.ENSP00000414982	0	0	0	0	0.072	0.067	0	0.363	0.400
CEBPZ	IWS1	9606.ENSP00000234170	9606.ENSP00000295321	0	0	0	0	0.289	0	0	0.207	0.412
CEBPZ	KLC2	9606.ENSP00000234170	9606.ENSP00000399403	0	0	0	0	0.069	0.067	0	0.380	0.414
CEBPZ	DDX49	9606.ENSP00000234170	9606.ENSP00000247003	0	0	0	0	0.371	0.127	0	0.097	0.461
CEBPZ	CWC22	9606.ENSP00000234170	9606.ENSP00000387006	0	0	0	0	0.462	0	0	0	0.462
CEBPZ	NSUN5	9606.ENSP00000234170	9606.ENSP00000309126	0	0	0	0	0.329	0.188	0	0.106	0.470
CEBPZ	DNAJC2	9606.ENSP00000234170	9606.ENSP00000368565	0	0	0	0	0.569	0	0	0.079	0.586
CEBPZ	PUS7	9606.ENSP00000234170	9606.ENSP00000417402	0	0	0	0	0.633	0	0	0.051	0.637
CEBPZ	LYAR	9606.ENSP00000234170	9606.ENSP00000345917	0	0	0	0	0.611	0.166	0	0	0.661
CEBPZ	NVL	9606.ENSP00000234170	9606.ENSP00000281701	0	0	0	0	0.635	0.075	0	0.134	0.682
CEBPZ	IMP4	9606.ENSP00000234170	9606.ENSP00000259239	0	0	0	0	0.701	0	0	0	0.701
CEBPZ	POLR1E	9606.ENSP00000234170	9606.ENSP00000367029	0	0	0	0	0.698	0.127	0	0	0.725
CEBPZ	RRS1	9606.ENSP00000234170	9606.ENSP00000322396	0	0	0	0	0.772	0.097	0	0.181	0.817
CEBPZ	RRP1B	9606.ENSP00000234170	9606.ENSP00000339145	0	0	0	0	0.719	0.354	0	0.177	0.838
CEBPZ	NGDN	9606.ENSP00000234170	9606.ENSP00000386134	0	0	0	0	0.838	0	0	0.149	0.856
CEBPZ	TBL3	9606.ENSP00000234170	9606.ENSP00000454836	0	0	0	0	0.836	0.075	0	0.296	0.884
CEBPZ	NFYC	9606.ENSP00000234170	9606.ENSP00000312617	0	0	0	0	0.055	0	0.360	0.827	0.886
CEBPZ	WDR12	9606.ENSP00000234170	9606.ENSP00000261015	0	0	0	0	0.556	0.494	0	0.573	0.895
CEBPZ	UTP4	9606.ENSP00000234170	9606.ENSP00000327179	0	0	0	0	0.875	0.133	0	0.123	0.897
CEBPZ	WDR3	9606.ENSP00000234170	9606.ENSP00000308179	0	0	0	0	0.907	0	0	0.129	0.915
CEBPZ	WDR43	9606.ENSP00000234170	9606.ENSP00000384302	0	0	0	0	0.911	0.091	0	0.118	0.922
CEBPZ	DDX24	9606.ENSP00000234170	9606.ENSP00000481495	0	0	0	0	0.828	0.494	0	0.205	0.924
CEBPZ	WDR36	9606.ENSP00000234170	9606.ENSP00000423067	0	0	0	0	0.909	0.075	0	0.201	0.926
CEBPZ	NOL10	9606.ENSP00000234170	9606.ENSP00000371101	0	0	0	0	0.898	0	0	0.349	0.931
CEBPZ	RBM34	9606.ENSP00000234170	9606.ENSP00000386226	0	0	0	0	0.818	0.731	0	0.240	0.959
CEBPZ	PUM3	9606.ENSP00000234170	9606.ENSP00000380982	0	0	0	0	0.931	0.496	0	0.262	0.972
CEBPZ	MPHOSPH10	9606.ENSP00000234170	9606.ENSP00000244230	0	0	0	0	0.969	0.107	0	0.240	0.977
CEBPZ	DDX56	9606.ENSP00000234170	9606.ENSP00000258772	0	0	0	0	0.915	0.698	0	0.261	0.979
CENPB	CENPC	9606.ENSP00000369075	9606.ENSP00000273853	0	0	0	0	0	0	0	0.993	0.993
CENPB	HARS2	9606.ENSP00000369075	9606.ENSP00000494965	0	0	0	0	0	0	0	0.427	0.427
CENPC	RBM34	9606.ENSP00000273853	9606.ENSP00000386226	0	0	0	0	0.082	0.422	0	0	0.446
CENPC	MAD2L1	9606.ENSP00000273853	9606.ENSP00000296509	0	0	0	0	0.078	0	0.500	0.156	0.577
CFAP20	DR1	9606.ENSP00000262498	9606.ENSP00000359295	0	0	0	0	0.075	0	0	0.702	0.712
CFAP20	GTF2B	9606.ENSP00000262498	9606.ENSP00000359531	0	0	0	0	0.084	0	0	0.880	0.885
CFDP1	DMAP1	9606.ENSP00000283882	9606.ENSP00000361363	0	0	0	0	0.128	0.818	0.540	0.871	0.989
CHD1L	RFC2	9606.ENSP00000358262	9606.ENSP00000055077	0.046	0	0	0	0.085	0.331	0	0.197	0.469
CHD1L	MCM5	9606.ENSP00000358262	9606.ENSP00000216122	0	0	0	0	0.221	0.170	0	0.159	0.409
CHD1L	NUDCD1	9606.ENSP00000358262	9606.ENSP00000239690	0	0	0	0	0.061	0.619	0	0.041	0.626
CHD1L	POLE3	9606.ENSP00000358262	9606.ENSP00000363286	0	0	0	0	0.067	0.495	0	0.193	0.586
CHMP5	SPAST	9606.ENSP00000223500	9606.ENSP00000320885	0	0	0	0	0.057	0	0	0.457	0.466
CHMP5	STAM	9606.ENSP00000223500	9606.ENSP00000366746	0	0	0	0	0.094	0.068	0	0.475	0.518
CHMP5	TM9SF1	9606.ENSP00000223500	9606.ENSP00000261789	0	0	0	0	0.112	0.555	0	0.277	0.689
CHMP5	VPS28	9606.ENSP00000223500	9606.ENSP00000366565	0	0	0	0	0.067	0	0.500	0.843	0.920
CLP1	PAPOLA	9606.ENSP00000434995	9606.ENSP00000216277	0	0	0	0	0	0.066	0.500	0.425	0.708
CLP1	THOC3	9606.ENSP00000434995	9606.ENSP00000265097	0	0	0	0	0.060	0	0.500	0.245	0.614
CLP1	DHX38	9606.ENSP00000434995	9606.ENSP00000268482	0	0	0	0	0.105	0	0.500	0	0.533
CLP1	UPF3B	9606.ENSP00000434995	9606.ENSP00000276201	0	0	0	0	0	0	0.500	0	0.499
CLP1	CPSF4	9606.ENSP00000434995	9606.ENSP00000292476	0	0	0	0	0.060	0.476	0.800	0.406	0.933
CLP1	POP7	9606.ENSP00000434995	9606.ENSP00000304353	0	0	0	0	0.139	0	0.900	0	0.910
CLP1	CSTF3	9606.ENSP00000434995	9606.ENSP00000315791	0	0	0	0	0.060	0.593	0.500	0.560	0.904
CLP1	WDR33	9606.ENSP00000434995	9606.ENSP00000325377	0	0	0	0	0.049	0.125	0.500	0.370	0.703
CLP1	NCBP2	9606.ENSP00000434995	9606.ENSP00000326806	0	0	0	0	0.049	0	0.500	0.170	0.570
CLP1	MAGOH	9606.ENSP00000434995	9606.ENSP00000360525	0	0	0	0	0.139	0	0.500	0	0.551
CLP1	SRSF4	9606.ENSP00000434995	9606.ENSP00000362900	0	0	0	0	0	0.295	0.500	0.154	0.675
CLP1	THOC5	9606.ENSP00000434995	9606.ENSP00000420306	0	0	0	0	0.049	0	0.500	0.186	0.579
CNOT10	CNOT2	9606.ENSP00000399862	9606.ENSP00000229195	0	0	0	0	0.242	0.827	0.900	0.995	0.999
CNOT10	COG7	9606.ENSP00000399862	9606.ENSP00000305442	0	0	0	0	0.060	0	0	0.410	0.422
CNOT10	CWF19L1	9606.ENSP00000399862	9606.ENSP00000326411	0	0	0	0	0.426	0	0	0	0.426
CNOT10	EDC3	9606.ENSP00000399862	9606.ENSP00000497737	0	0	0	0	0.138	0	0	0.399	0.460
CNOT10	RAVER1	9606.ENSP00000399862	9606.ENSP00000482486	0	0	0	0	0.069	0.443	0	0.046	0.462
CNOT10	INTS4	9606.ENSP00000399862	9606.ENSP00000434466	0	0	0	0	0.486	0	0	0	0.486
CNOT2	UBXN7	9606.ENSP00000229195	9606.ENSP00000296328	0	0	0	0	0.092	0.334	0	0.102	0.409
CNOT2	EDC3	9606.ENSP00000229195	9606.ENSP00000497737	0	0	0	0	0.107	0	0	0.367	0.411
CNOT2	PUM1	9606.ENSP00000229195	9606.ENSP00000391723	0	0	0	0	0.250	0.208	0	0.113	0.428
CNOT2	SRSF4	9606.ENSP00000229195	9606.ENSP00000362900	0	0	0	0	0.257	0.260	0	0.068	0.442
CNOT2	UCKL1	9606.ENSP00000229195	9606.ENSP00000346155	0	0	0	0	0.056	0	0	0.475	0.484
CNOT2	NCBP2	9606.ENSP00000229195	9606.ENSP00000326806	0	0	0	0	0.108	0.091	0	0.425	0.493
CNOT2	RSRC2	9606.ENSP00000229195	9606.ENSP00000330188	0	0	0	0	0.538	0.061	0	0	0.547
CNOT2	SEC62	9606.ENSP00000229195	9606.ENSP00000337688	0	0	0	0	0.067	0.096	0	0.648	0.678
COA7	VMA21	9606.ENSP00000360593	9606.ENSP00000359386	0	0	0	0	0.060	0.556	0	0	0.565
COG7	GOSR1	9606.ENSP00000305442	9606.ENSP00000225724	0	0	0	0	0.055	0	0.500	0.752	0.872
COG7	STX6	9606.ENSP00000305442	9606.ENSP00000258301	0	0	0	0	0.060	0	0.500	0.631	0.811
COG7	EDC3	9606.ENSP00000305442	9606.ENSP00000497737	0	0	0	0	0.127	0	0	0.427	0.478
COG7	TMF1	9606.ENSP00000305442	9606.ENSP00000494067	0	0	0	0	0.049	0	0.500	0.198	0.585
CPSF4	PAPOLA	9606.ENSP00000292476	9606.ENSP00000216277	0	0	0	0	0.055	0.583	0.500	0.776	0.950
CPSF4	NUDCD1	9606.ENSP00000292476	9606.ENSP00000239690	0	0	0	0	0.063	0.619	0	0	0.627
CPSF4	SRSF4	9606.ENSP00000292476	9606.ENSP00000362900	0	0	0	0	0.054	0.301	0	0.176	0.408
CPSF4	METTL14	9606.ENSP00000292476	9606.ENSP00000373474	0	0	0	0	0.257	0	0	0.257	0.425
CPSF4	NUP37	9606.ENSP00000292476	9606.ENSP00000448054	0	0	0	0	0.139	0.091	0.400	0	0.489
CPSF4	NCBP2	9606.ENSP00000292476	9606.ENSP00000326806	0	0	0	0	0.067	0	0.500	0.097	0.542
CPSF4	P4HA2	9606.ENSP00000292476	9606.ENSP00000384999	0	0	0	0	0.049	0.558	0	0.083	0.580
CPSF4	CSTF3	9606.ENSP00000292476	9606.ENSP00000315791	0	0	0	0	0.121	0.908	0.500	0.903	0.995
CPSF4	WDR33	9606.ENSP00000292476	9606.ENSP00000325377	0	0	0	0	0.076	0.997	0.800	0.997	0.999
CRP	TGFB1	9606.ENSP00000255030	9606.ENSP00000221930	0	0	0	0	0	0	0	0.573	0.573
CRP	PPP6R3	9606.ENSP00000255030	9606.ENSP00000377390	0	0	0	0	0	0	0	0.417	0.416
CRP	SPP1	9606.ENSP00000255030	9606.ENSP00000378517	0	0	0	0	0.083	0	0	0.509	0.530
CRP	GPX8	9606.ENSP00000255030	9606.ENSP00000423822	0	0	0	0	0.068	0	0	0.594	0.605
CRP	PIK3C2A	9606.ENSP00000255030	9606.ENSP00000265970	0	0	0	0	0.081	0	0	0.766	0.775
CSTF3	PAPOLA	9606.ENSP00000315791	9606.ENSP00000216277	0	0	0	0	0.060	0.736	0.500	0.914	0.988
CSTF3	INTS10	9606.ENSP00000315791	9606.ENSP00000381064	0	0	0	0	0.156	0	0	0.360	0.437
CSTF3	TP53BP1	9606.ENSP00000315791	9606.ENSP00000371475	0	0	0	0	0.154	0.439	0	0	0.505
CSTF3	ZNF318	9606.ENSP00000315791	9606.ENSP00000354964	0	0	0	0	0.108	0.470	0	0.166	0.571
CSTF3	SRSF4	9606.ENSP00000315791	9606.ENSP00000362900	0	0	0	0	0.093	0.470	0	0.209	0.586
CSTF3	NCBP2	9606.ENSP00000315791	9606.ENSP00000326806	0	0	0	0	0.311	0.126	0.500	0.145	0.708
CSTF3	WDR33	9606.ENSP00000315791	9606.ENSP00000325377	0	0	0	0	0.172	0.955	0.500	0.914	0.998
CTR9	PAF1	9606.ENSP00000355013	9606.ENSP00000221265	0	0	0	0	0.191	0.997	0.900	0.797	0.999
CTR9	THOC3	9606.ENSP00000355013	9606.ENSP00000265097	0	0	0	0	0.057	0	0	0.412	0.422
CTR9	MFAP1	9606.ENSP00000355013	9606.ENSP00000267812	0	0	0	0	0.459	0	0	0	0.459
CTR9	IWS1	9606.ENSP00000355013	9606.ENSP00000295321	0	0	0	0	0.375	0.803	0	0.367	0.915
CTR9	WDR33	9606.ENSP00000355013	9606.ENSP00000325377	0	0	0	0	0.443	0.129	0	0.244	0.601
CTR9	RNF40	9606.ENSP00000355013	9606.ENSP00000325677	0	0	0	0	0.144	0.125	0.500	0.722	0.882
CTR9	NCBP2	9606.ENSP00000355013	9606.ENSP00000326806	0	0	0	0	0.201	0	0.500	0.107	0.612
CTR9	GTF2B	9606.ENSP00000355013	9606.ENSP00000359531	0	0	0	0	0.063	0	0	0.415	0.428
CTR9	DMAP1	9606.ENSP00000355013	9606.ENSP00000361363	0	0	0	0	0.122	0	0	0.447	0.493
CTR9	H2BU1	9606.ENSP00000355013	9606.ENSP00000479284	0	0.014	0	0	0.055	0.241	0	0.404	0.535
CTR9	CWC22	9606.ENSP00000355013	9606.ENSP00000387006	0	0	0	0	0.473	0	0	0.202	0.562
CTR9	POLR2H	9606.ENSP00000355013	9606.ENSP00000415536	0	0	0	0	0.099	0.948	0	0.182	0.958
CTR9	RTF1	9606.ENSP00000355013	9606.ENSP00000374280	0	0	0	0	0.309	0.997	0.900	0.998	0.999
CWC15	RBM22	9606.ENSP00000475615	9606.ENSP00000199814	0	0	0	0	0.175	0.988	0.900	0.686	0.999
CWC15	PHF5A	9606.ENSP00000475615	9606.ENSP00000216252	0	0	0	0	0.185	0.896	0	0.385	0.943
CWC15	SNRPC	9606.ENSP00000475615	9606.ENSP00000244520	0	0	0	0	0.197	0.184	0	0.199	0.429
CWC15	PPIL4	9606.ENSP00000475615	9606.ENSP00000253329	0	0	0	0	0.173	0.265	0	0.095	0.402
CWC15	PPWD1	9606.ENSP00000475615	9606.ENSP00000261308	0	0	0	0	0.102	0.800	0	0.166	0.837
CWC15	WDR70	9606.ENSP00000475615	9606.ENSP00000265107	0	0	0	0	0.072	0.800	0	0.056	0.809
CWC15	MFAP1	9606.ENSP00000475615	9606.ENSP00000267812	0	0	0	0	0.214	0.800	0	0	0.836
CWC15	DHX38	9606.ENSP00000475615	9606.ENSP00000268482	0	0	0	0	0.057	0.983	0	0.414	0.989
CWC15	SDE2	9606.ENSP00000475615	9606.ENSP00000272091	0	0	0	0	0.067	0.824	0	0.421	0.897
CWC15	ISY1	9606.ENSP00000475615	9606.ENSP00000273541	0	0	0	0	0.246	0.958	0.540	0.212	0.987
CWC15	SNIP1	9606.ENSP00000475615	9606.ENSP00000296215	0	0	0	0	0.108	0.923	0	0.167	0.938
CWC15	NCBP2	9606.ENSP00000475615	9606.ENSP00000326806	0	0	0	0	0.144	0.855	0	0.066	0.874
CWC15	NKAP	9606.ENSP00000475615	9606.ENSP00000360464	0	0	0	0	0.067	0.800	0	0	0.805
CWC15	RNF113A	9606.ENSP00000475615	9606.ENSP00000360497	0	0	0	0	0.111	0.896	0	0.754	0.975
CWC15	MAGOH	9606.ENSP00000475615	9606.ENSP00000360525	0	0	0	0	0.122	0.914	0	0.239	0.938
CWC15	LSM2	9606.ENSP00000475615	9606.ENSP00000364813	0	0	0	0	0.123	0.800	0	0	0.817
CWC15	RBM34	9606.ENSP00000475615	9606.ENSP00000386226	0	0	0	0	0.253	0.288	0	0.072	0.463
CWC15	CWC22	9606.ENSP00000475615	9606.ENSP00000387006	0	0	0	0	0.127	0.899	0.900	0.726	0.997
CWC15	RBM17	9606.ENSP00000475615	9606.ENSP00000388638	0	0	0	0	0.262	0.778	0	0	0.829
CWC22	RBM22	9606.ENSP00000387006	9606.ENSP00000199814	0	0	0	0	0.178	0.948	0.900	0.603	0.998
CWC22	PHF5A	9606.ENSP00000387006	9606.ENSP00000216252	0	0	0	0	0.110	0.913	0.900	0.245	0.993
CWC22	PPIL4	9606.ENSP00000387006	9606.ENSP00000253329	0	0	0	0	0.494	0.133	0	0.080	0.561
CWC22	PPWD1	9606.ENSP00000387006	9606.ENSP00000261308	0	0	0	0	0.460	0.801	0	0.067	0.891
CWC22	WDR70	9606.ENSP00000387006	9606.ENSP00000265107	0	0	0	0	0.208	0.800	0	0.413	0.898
CWC22	MFAP1	9606.ENSP00000387006	9606.ENSP00000267812	0	0	0	0	0.468	0	0.900	0.103	0.948
CWC22	DHX38	9606.ENSP00000387006	9606.ENSP00000268482	0	0	0	0	0.125	0.983	0.800	0.665	0.998
CWC22	SDE2	9606.ENSP00000387006	9606.ENSP00000272091	0	0	0	0	0.058	0.811	0	0	0.814
CWC22	ISY1	9606.ENSP00000387006	9606.ENSP00000273541	0	0	0	0	0.085	0.899	0.900	0.430	0.994
CWC22	UPF3B	9606.ENSP00000387006	9606.ENSP00000276201	0	0	0	0	0.109	0	0.800	0.515	0.906
CWC22	IWS1	9606.ENSP00000387006	9606.ENSP00000295321	0	0	0	0	0.530	0	0	0	0.530
CWC22	SNIP1	9606.ENSP00000387006	9606.ENSP00000296215	0	0	0	0	0.190	0.965	0.900	0.508	0.998
CWC22	MRPL1	9606.ENSP00000387006	9606.ENSP00000315017	0	0	0	0	0.181	0	0	0.342	0.438
CWC22	NCBP2	9606.ENSP00000387006	9606.ENSP00000326806	0	0	0	0	0.133	0.177	0	0.278	0.440
CWC22	NKAP	9606.ENSP00000387006	9606.ENSP00000360464	0	0	0	0	0.458	0.800	0	0	0.887
CWC22	RNF113A	9606.ENSP00000387006	9606.ENSP00000360497	0	0	0	0	0.068	0.950	0.900	0.825	0.999
CWC22	MAGOH	9606.ENSP00000387006	9606.ENSP00000360525	0	0	0	0	0.075	0.914	0	0.667	0.971
CWC22	LSM2	9606.ENSP00000387006	9606.ENSP00000364813	0	0	0	0	0.068	0	0.900	0.248	0.923
CWF19L1	DBR1	9606.ENSP00000326411	9606.ENSP00000260803	0	0	0	0.567	0.313	0.471	0	0.422	0.771
CWF19L1	ISY1	9606.ENSP00000326411	9606.ENSP00000273541	0	0	0	0	0.139	0.432	0.540	0.081	0.765
CYFIP2	IGF2BP1	9606.ENSP00000479719	9606.ENSP00000290341	0	0	0	0	0.044	0	0	0.455	0.456
CYTH4	PIK3C2A	9606.ENSP00000248901	9606.ENSP00000265970	0	0	0	0	0.067	0	0.650	0	0.659
DAB2	SMAD2	9606.ENSP00000313391	9606.ENSP00000262160	0	0	0	0	0.049	0.292	0	0.602	0.708
DAB2	VAMP8	9606.ENSP00000313391	9606.ENSP00000263864	0	0	0	0	0.043	0	0.500	0.060	0.510
DAB2	PYCR1	9606.ENSP00000313391	9606.ENSP00000384949	0	0	0	0	0	0.292	0	0.273	0.463
DAB2	STAM	9606.ENSP00000313391	9606.ENSP00000366746	0	0	0	0	0.049	0	0.500	0.173	0.572
DAB2	DNM1	9606.ENSP00000313391	9606.ENSP00000362014	0	0	0	0	0.061	0	0.500	0.206	0.595
DBR1	SNRPC	9606.ENSP00000260803	9606.ENSP00000244520	0	0	0	0	0.056	0	0	0.472	0.480
DBR1	TP53BP1	9606.ENSP00000260803	9606.ENSP00000371475	0	0	0	0	0.054	0.439	0	0	0.446
DBR1	RFT1	9606.ENSP00000260803	9606.ENSP00000296292	0	0	0	0	0.533	0	0	0	0.533
DBR1	DHX38	9606.ENSP00000260803	9606.ENSP00000268482	0	0	0	0	0.060	0.788	0	0.561	0.905
DCK	UCKL1	9606.ENSP00000286648	9606.ENSP00000346155	0	0	0	0	0.064	0	0	0.449	0.463
DCK	UCK2	9606.ENSP00000286648	9606.ENSP00000356853	0	0	0	0	0.069	0	0	0.607	0.619
DCK	P4HA2	9606.ENSP00000286648	9606.ENSP00000384999	0	0	0	0	0.055	0	0	0.650	0.655
DCK	RRM1	9606.ENSP00000286648	9606.ENSP00000300738	0.056	0	0	0	0.220	0	0.140	0.752	0.822
DDX20	DDX49	9606.ENSP00000358716	9606.ENSP00000247003	0	0	0.186	0.691	0.102	0	0	0.414	0.534
DDX20	DHX38	9606.ENSP00000358716	9606.ENSP00000268482	0	0	0	0	0.153	0.122	0	0.357	0.480
DDX20	SNIP1	9606.ENSP00000358716	9606.ENSP00000296215	0	0	0	0	0.195	0	0	0.430	0.522
DDX20	GEMIN4	9606.ENSP00000358716	9606.ENSP00000321706	0	0	0	0	0.241	0.887	0.900	0.999	0.999
DDX20	NCBP2	9606.ENSP00000358716	9606.ENSP00000326806	0	0	0	0	0.108	0.355	0.500	0.194	0.737
DDX20	UBQLN4	9606.ENSP00000358716	9606.ENSP00000357292	0	0	0	0	0.090	0.098	0	0.384	0.451
DDX20	METTL14	9606.ENSP00000358716	9606.ENSP00000373474	0	0	0	0	0.165	0	0	0.353	0.437
DDX20	TP53BP1	9606.ENSP00000358716	9606.ENSP00000371475	0	0	0	0	0.054	0.439	0	0	0.446
DDX20	NUP37	9606.ENSP00000358716	9606.ENSP00000448054	0	0	0	0	0.073	0.094	0.400	0.050	0.457
DDX20	LSM2	9606.ENSP00000358716	9606.ENSP00000364813	0	0	0	0	0.049	0.472	0	0.081	0.498
DDX20	SMG8	9606.ENSP00000358716	9606.ENSP00000438748	0	0	0	0	0.194	0	0	0.406	0.501
DDX20	EDC3	9606.ENSP00000358716	9606.ENSP00000497737	0	0	0	0	0.116	0.171	0	0.386	0.511
DDX24	TARBP1	9606.ENSP00000481495	9606.ENSP00000040877	0.042	0	0	0	0.291	0.180	0	0.074	0.415
DDX24	TRMT6	9606.ENSP00000481495	9606.ENSP00000203001	0	0	0	0	0.527	0.066	0	0	0.540
DDX24	UTP18	9606.ENSP00000481495	9606.ENSP00000225298	0	0	0	0	0.305	0.177	0	0.102	0.441
DDX24	MPHOSPH10	9606.ENSP00000481495	9606.ENSP00000244230	0	0	0	0	0.576	0.145	0	0.073	0.634
DDX24	DDX49	9606.ENSP00000481495	9606.ENSP00000247003	0	0	0.175	0.693	0.338	0	0	0.158	0.501
DDX24	PPIL4	9606.ENSP00000481495	9606.ENSP00000253329	0	0	0	0	0.137	0.125	0	0.390	0.500
DDX24	DDX56	9606.ENSP00000481495	9606.ENSP00000258772	0	0	0.176	0.619	0.842	0.507	0	0.377	0.954
DDX24	IMP4	9606.ENSP00000481495	9606.ENSP00000259239	0	0	0	0	0.376	0.171	0	0.063	0.473
DDX24	WDR12	9606.ENSP00000481495	9606.ENSP00000261015	0	0	0	0	0.823	0.597	0	0.235	0.940
DDX24	NVL	9606.ENSP00000481495	9606.ENSP00000281701	0	0	0	0	0.402	0.088	0	0.351	0.615
DDX24	WDR3	9606.ENSP00000481495	9606.ENSP00000308179	0	0	0	0	0.667	0.095	0	0.153	0.722
DDX24	RRS1	9606.ENSP00000481495	9606.ENSP00000322396	0	0	0	0	0.530	0.097	0	0.097	0.583
DDX24	UTP4	9606.ENSP00000481495	9606.ENSP00000327179	0	0	0	0	0.588	0.091	0	0	0.609
DDX24	DDX59	9606.ENSP00000481495	9606.ENSP00000330460	0	0	0.228	0.581	0.350	0.095	0	0.126	0.550
DDX24	RRP1B	9606.ENSP00000481495	9606.ENSP00000339145	0	0	0	0	0.421	0.399	0	0.121	0.668
DDX24	LYAR	9606.ENSP00000481495	9606.ENSP00000345917	0	0	0	0	0.347	0.165	0	0	0.431
DDX24	NOL10	9606.ENSP00000481495	9606.ENSP00000371101	0	0	0	0	0.759	0.084	0	0.102	0.784
DDX24	PUM3	9606.ENSP00000481495	9606.ENSP00000380982	0	0	0	0	0.752	0.697	0	0.131	0.929
DDX24	WDR43	9606.ENSP00000481495	9606.ENSP00000384302	0	0	0	0	0.550	0.122	0	0	0.588
DDX24	NGDN	9606.ENSP00000481495	9606.ENSP00000386134	0	0	0	0	0.702	0.145	0	0.096	0.750
DDX24	RBM34	9606.ENSP00000481495	9606.ENSP00000386226	0	0	0	0	0.820	0.545	0	0.115	0.921
DDX24	PUS7	9606.ENSP00000481495	9606.ENSP00000417402	0	0	0	0	0.426	0.160	0	0	0.497
DDX24	WDR36	9606.ENSP00000481495	9606.ENSP00000423067	0	0	0	0	0.628	0.126	0	0.057	0.666
DDX24	TBL3	9606.ENSP00000481495	9606.ENSP00000454836	0	0	0	0	0.824	0.431	0	0.065	0.898
DDX49	UTP18	9606.ENSP00000247003	9606.ENSP00000225298	0	0	0	0	0.620	0.177	0.500	0.427	0.898
DDX49	MPHOSPH10	9606.ENSP00000247003	9606.ENSP00000244230	0	0	0	0	0.357	0.145	0	0.286	0.574
DDX49	NSUN5	9606.ENSP00000247003	9606.ENSP00000309126	0	0	0	0	0.322	0.147	0	0.078	0.420
DDX49	DDX59	9606.ENSP00000247003	9606.ENSP00000330460	0	0	0.182	0.710	0.250	0	0	0.148	0.432
DDX49	PUM3	9606.ENSP00000247003	9606.ENSP00000380982	0	0	0	0	0.356	0.126	0	0.090	0.443
DDX49	RBM34	9606.ENSP00000247003	9606.ENSP00000386226	0	0	0	0	0.397	0.109	0	0.062	0.452
DDX49	EXOSC8	9606.ENSP00000247003	9606.ENSP00000374354	0	0	0	0	0.133	0.045	0.400	0	0.459
DDX49	RRP1B	9606.ENSP00000247003	9606.ENSP00000339145	0	0	0	0	0.335	0.187	0	0.101	0.472
DDX49	POLR1E	9606.ENSP00000247003	9606.ENSP00000367029	0	0	0	0	0.489	0	0	0	0.489
DDX49	EXOSC1	9606.ENSP00000247003	9606.ENSP00000359939	0	0	0	0	0.178	0.053	0.400	0.045	0.494
DDX49	TRMT61A	9606.ENSP00000247003	9606.ENSP00000374399	0	0	0	0	0.509	0.063	0	0	0.520
DDX49	NR2C2AP	9606.ENSP00000247003	9606.ENSP00000402756	0	0	0	0	0.085	0.071	0	0.495	0.533
DDX49	WDR36	9606.ENSP00000247003	9606.ENSP00000423067	0	0	0	0	0.407	0.126	0	0.192	0.545
DDX49	DHX38	9606.ENSP00000247003	9606.ENSP00000268482	0	0	0	0	0.172	0.122	0	0.455	0.569
DDX49	NOL9	9606.ENSP00000247003	9606.ENSP00000366934	0	0	0	0	0.170	0	0.500	0.087	0.588
DDX49	NOL10	9606.ENSP00000247003	9606.ENSP00000371101	0	0	0	0	0.428	0.084	0	0.349	0.629
DDX49	RRS1	9606.ENSP00000247003	9606.ENSP00000322396	0	0	0	0	0.621	0.097	0	0.097	0.664
DDX49	WDR3	9606.ENSP00000247003	9606.ENSP00000308179	0	0	0	0	0.585	0.095	0	0.344	0.732
DDX49	UTP4	9606.ENSP00000247003	9606.ENSP00000327179	0	0	0	0	0.315	0.091	0.500	0.297	0.751
DDX49	IMP4	9606.ENSP00000247003	9606.ENSP00000259239	0	0	0	0	0.722	0.171	0	0.063	0.766
DDX49	TBL3	9606.ENSP00000247003	9606.ENSP00000454836	0	0	0	0	0.675	0.078	0	0.454	0.822
DDX49	NGDN	9606.ENSP00000247003	9606.ENSP00000386134	0	0	0	0	0.740	0.145	0	0.366	0.847
DDX49	DDX56	9606.ENSP00000247003	9606.ENSP00000258772	0	0	0.180	0.696	0.817	0	0	0.194	0.869
DDX49	WDR12	9606.ENSP00000247003	9606.ENSP00000261015	0	0	0	0	0.694	0.269	0.500	0.213	0.900
